sku,month,ticket_price,qty_sold,returns,unit_cost,inventory,sales_goal,sales_to_date,price_ladder,seasonal_flag
SKU-001,2024-01-01,85.31,7,0,54.4,32,7,5,A,1
SKU-001,2024-02-01,81.63,12,0,54.4,39,13,5,A,1
SKU-001,2024-03-01,86.88,11,0,54.4,34,11,7,A,1
SKU-001,2024-04-01,74.23,17,0,54.4,58,16,9,A,1
SKU-001,2024-05-01,86.18,9,0,54.4,43,8,5,B,1
SKU-001,2024-06-01,82.28,8,0,54.4,43,8,3,A,1
SKU-001,2024-07-01,88.57,10,0,54.4,55,9,8,A,1
SKU-001,2024-08-01,86.68,9,0,54.4,22,8,6,C,1
SKU-001,2024-09-01,81.87,7,0,54.4,48,7,3,A,1
SKU-001,2024-10-01,91.29,6,0,54.4,47,6,4,C,1
SKU-001,2024-11-01,78.47,7,0,54.4,20,6,3,B,1
SKU-001,2024-12-01,91.59,7,0,54.4,33,7,5,B,1
SKU-002,2024-01-01,307.44,3,0,139.0,43,3,1,B,0
SKU-002,2024-02-01,257.77,0,0,139.0,42,0,0,B,0
SKU-002,2024-03-01,282.94,0,0,139.0,49,0,0,C,0
SKU-002,2024-04-01,310.15,2,0,139.0,31,1,0,A,0
SKU-002,2024-05-01,271.49,3,0,139.0,48,3,2,A,0
SKU-002,2024-06-01,283.11,1,0,139.0,17,1,0,A,0
SKU-002,2024-07-01,321.18,0,0,139.0,12,0,0,C,0
SKU-002,2024-08-01,254.7,3,0,139.0,38,2,1,A,0
SKU-002,2024-09-01,254.27,2,0,139.0,34,2,1,C,0
SKU-002,2024-10-01,255.11,0,0,139.0,45,0,0,A,0
SKU-002,2024-11-01,249.66,1,0,139.0,43,0,0,B,0
SKU-002,2024-12-01,284.27,2,0,139.0,2,2,1,C,0
SKU-003,2024-01-01,362.05,0,0,227.48,40,0,0,A,1
SKU-003,2024-02-01,324.97,0,0,227.48,19,0,0,A,1
SKU-003,2024-03-01,390.97,0,0,227.48,39,0,0,C,1
SKU-003,2024-04-01,368.3,0,0,227.48,49,0,0,B,1
SKU-003,2024-05-01,407.7,0,0,227.48,37,0,0,A,1
SKU-003,2024-06-01,375.67,0,0,227.48,2,0,0,A,1
SKU-003,2024-07-01,381.34,0,0,227.48,43,0,0,C,1
SKU-003,2024-08-01,362.84,0,0,227.48,31,0,0,A,1
SKU-003,2024-09-01,414.83,0,0,227.48,48,0,0,C,1
SKU-003,2024-10-01,354.67,0,0,227.48,5,0,0,B,1
SKU-003,2024-11-01,391.76,0,0,227.48,19,0,0,C,1
SKU-003,2024-12-01,315.49,0,0,227.48,41,0,0,A,1
SKU-004,2024-01-01,384.35,15,0,185.03,32,14,4,C,0
SKU-004,2024-02-01,352.26,15,0,185.03,60,14,12,A,0
SKU-004,2024-03-01,351.09,18,0,185.03,52,18,13,A,0
SKU-004,2024-04-01,369.37,17,0,185.03,67,15,13,A,0
SKU-004,2024-05-01,416.62,8,0,185.03,33,8,4,C,0
SKU-004,2024-06-01,426.36,16,0,185.03,31,16,12,A,0
SKU-004,2024-07-01,381.56,12,0,185.03,47,13,6,C,0
SKU-004,2024-08-01,383.02,12,0,185.03,63,11,8,C,0
SKU-004,2024-09-01,360.39,18,0,185.03,47,19,16,B,0
SKU-004,2024-10-01,387.75,15,0,185.03,42,16,9,B,0
SKU-004,2024-11-01,329.68,17,0,185.03,20,18,5,A,0
SKU-004,2024-12-01,342.54,16,0,185.03,66,17,14,C,0
SKU-005,2024-01-01,363.42,106,2,258.12,308,100,39,C,0
